 ,Item Title,List Price,Image Filename,Width,Depth,Height,Sales Description,Rack Size,Drain Pump,Water Softener,MAP
AM35XL,Amika Undercounter Glasswasher,1005,halcyon_amika_35xl_glasswasher_1.jpg;halcyon_amika_35xl_glasswasher_2.jpg;Amika35XLperth.jpg,400,480,630,35XL Rack size 350 x 350mm<br>Maximum useable height 255mm <br>Dimensions W400 x D480 x H630mm<br>Height excludes adjustable feet which will add 10 - 20mm<br>Cycle time 120 Sec <br>Power 2.9kW <br>13 Amps required<br>Targeted model range to meet volume market requirements<br>Designed for maximum energy and wash efficiency<br>Wash tank designed to reduce water consumption<br>Detergent and rinse aid dosing as standard<br>Drain pump optional<br>Cycle time 120 sec<br>Supplied with two open glass racks<br>Suitable for hot (max 50°C) or cold water supply at 2 to 4 bar dynamic supply pressure<br>Machines fitted to cold water supplies will not be capable of running repeated short cycles. <br>The cycle time will automatically be extended to allow recovery of correct operating temperatures<br>Wash temperature 60°C<br>Rinse temperature 65°C,350,No,No,680
AM35XLD,Amika Undercounter Glasswasher with Drain Pump,1130,halcyon_amika_35xl_glasswasher_1.jpg;halcyon_amika_35xl_glasswasher_2.jpg;Amika35XLperth.jpg,400,480,630,35XL Rack size 350 x 350mm<br>Maximum useable height 255mm <br>Dimensions W400 x D480 x H630mm<br>Height excludes adjustable feet which will add 10 - 20mm<br>Cycle time 120 Sec <br>Power 2.9kW <br>13 Amps required<br>Targeted model range to meet volume market requirements<br>Designed for maximum energy and wash efficiency<br>Wash tank designed to reduce water consumption<br>Detergent and rinse aid dosing as standard<br>Drain pump optional<br>Cycle time 120 sec<br>Supplied with two open glass racks<br>Suitable for hot (max 50°C) or cold water supply at 2 to 4 bar dynamic supply pressure<br>Machines fitted to cold water supplies will not be capable of running repeated short cycles. <br>The cycle time will automatically be extended to allow recovery of correct operating temperatures<br>Wash temperature 60°C<br>Rinse temperature 65°C,350,Yes,No,765
AM40XL,Amika Undercounter Glasswasher,1240,am40xlopennew.jpg;AM40xlnew.jpg,440,530,645,40XL Rack size 390 x 390mm<br>Maximum useable height 285mm <br>Dimensions W440 x D530 x H645mm<br>Height excludes adjustable feet which will add 10 - 20mm<br>Cycle time 120 Sec <br>Power 2.9kW <br>13 Amps required<br>Targeted model range to meet volume market requirements<br>Designed for maximum energy and wash efficiency<br>Wash tank designed to reduce water consumption<br>Detergent and rinse aid dosing as standard<br>Drain pump optional<br>Cycle time 120 sec<br>Supplied with two open glass racks<br>Suitable for hot (max 50°C) or cold water supply at 2 to 4 bar dynamic supply pressure<br>Machines fitted to cold water supplies will not be capable of running repeated short cycles.<br>The cycle time will automatically be extended to allow recovery of correct operating temperatures<br>Wash temperature 60°C<br>Rinse temperature 65°C ,390,No,No,840
AM40XLD,Amika Undercounter Glasswasher with Drain Pump,1365,am40xlopennew.jpg;AM40xlnew.jpg,440,530,645,40XL Rack size 390 x 390mm<br>Maximum useable height 285mm <br>Dimensions W440 x D530 x H645mm<br>Height excludes adjustable feet which will add 10 - 20mm<br>Cycle time 120 Sec <br>Power 2.9kW <br>13 Amps required<br>Targeted model range to meet volume market requirements<br>Designed for maximum energy and wash efficiency<br>Wash tank designed to reduce water consumption<br>Detergent and rinse aid dosing as standard<br>Drain pump optional<br>Cycle time 120 sec<br>Supplied with two open glass racks<br>Suitable for hot (max 50°C) or cold water supply at 2 to 4 bar dynamic supply pressure<br>Machines fitted to cold water supplies will not be capable of running repeated short cycles.<br>The cycle time will automatically be extended to allow recovery of correct operating temperatures<br>Wash temperature 60°C<br>Rinse temperature 65°C ,390,Yes,No,925
AM45XL,Amika Undercounter Glasswasher,1735,am45xlopennew.jpg;am45xlnew.jpg,530,560,695,45XL Rack size 450 x 450mm<br>Maximum useable height 255mm <br>Dimensions W530 x D560 x H695mm<br>Height excludes adjustable feet which will add 10 - 20mm<br>Cycle time 120 Sec <br>Power 2.9kW <br>13 Amps required<br>Targeted model range to meet volume market requirements<br>Designed for maximum energy and wash efficiency<br>Wash tank designed to reduce water consumption<br>Detergent and rinse aid dosing as standard<br>Drain pump optional<br>Cycle time 120 sec<br>Supplied with two open glass racks<br>Suitable for hot (max 50°C) or cold water supply at 2 to 4 bar dynamic supply pressure<br>Machines fitted to cold water supplies will not be capable of running repeated short cycles.<br>The cycle time will automatically be extended to allow recovery of correct operating temperatures<br>Wash temperature 60°C <br>Rinse temperature 65°C,450,No,No,1175
AM45XLD,Amika Undercounter Glasswasher with Drain Pump,1855,am45xlopennew.jpg;am45xlnew.jpg,530,560,695,45XL Rack size 450 x 450mm<br>Maximum useable height 255mm <br>Dimensions W530 x D560 x H695mm<br>Height excludes adjustable feet which will add 10 - 20mm<br>Cycle time 120 Sec <br>Power 2.9kW <br>13 Amps required<br>Targeted model range to meet volume market requirements<br>Designed for maximum energy and wash efficiency<br>Wash tank designed to reduce water consumption<br>Detergent and rinse aid dosing as standard<br>Drain pump optional<br>Cycle time 120 sec<br>Supplied with two open glass racks<br>Suitable for hot (max 50°C) or cold water supply at 2 to 4 bar dynamic supply pressure<br>Machines fitted to cold water supplies will not be capable of running repeated short cycles.<br>The cycle time will automatically be extended to allow recovery of correct operating temperatures<br>Wash temperature 60°C <br>Rinse temperature 65°C,450,Yes,No,1255
AM50XL,Amika Undercounter Glasswasher,1855,AM50xlopennew.jpg;am50xlnew.jpg,580,605,815,50XL Rack size 500 x 500mm<br>Maximum useable height 325mm <br>Dimensions W580 x D605 x H815mm<br>Height excludes adjustable feet which will add 10 - 20mm<br>Cycle time 90/120 Sec <br>Power 2.6/4.5/6.5kW <br>13/20/30 Amps required<br>Targeted model range to meet volume market requirements<br>Designed for maximum energy and wash efficiency<br>Wash tank designed to reduce water consumption<br>Detergent and rinse aid dosing as standard<br>Surface scrap tray kits available<br>Drain pump optional<br>Cycle times 90/120 sec<br>Supplied with two open glass racks<br>Suitable for hot (max 50°C) or cold water supply at 2 to 4 bar dynamic supply pressure<br>Machines fitted to cold water supplies will not be capable of running repeated short cycles.<br>The cycle time will automatically be extended to allow recovery of correct operating temperatures<br>Wash temperature 60°C <br>Rinse temperature 65°C ,500,No,No,1255
AM50XLD,Amika Undercounter Glasswasher with Drain Pump,1985,AM50xlopennew.jpg;am50xlnew.jpg,580,605,815,50XL Rack size 500 x 500mm<br>Maximum useable height 325mm <br>Dimensions W580 x D605 x H815mm<br>Height excludes adjustable feet which will add 10 - 20mm<br>Cycle time 90/120 Sec <br>Power 2.6/4.5/6.5kW <br>13/20/30 Amps required<br>Targeted model range to meet volume market requirements<br>Designed for maximum energy and wash efficiency<br>Wash tank designed to reduce water consumption<br>Detergent and rinse aid dosing as standard<br>Surface scrap tray kits available<br>Drain pump optional<br>Cycle times 90/120 sec<br>Supplied with two open glass racks<br>Suitable for hot (max 50°C) or cold water supply at 2 to 4 bar dynamic supply pressure<br>Machines fitted to cold water supplies will not be capable of running repeated short cycles.<br>The cycle time will automatically be extended to allow recovery of correct operating temperatures<br>Wash temperature 60°C <br>Rinse temperature 65°C ,500,Yes,No,1345
C351,Undercounter Glasswasher,1320,C351peroninewth.jpg;C351winenewth.jpg;C351closednewth.jpg,400,480,630,C351 Rack size 350 x 350mm<br>Maximum useable height 255mm <br>Dimensions W400 x D480 x H630mm<br>Height excludes adjustable feet which will add 10 - 20mm<br>Three selectable cycle times ranging from 70 - 240 sec <br>Power 2.9kW <br>13 Amps required<br>2 year warranty<br>Bright LED display with soft touch controls<br>Accurate detergent and rinse aid peristaltic dosing as standard<br>Supplied with two open cup/glass racks<br>Three selectable cycle options<br>Cycle times between 70 & 240 secs<br>Cycle times can be tailored to site requirements<br>Selectable energy saving mode<br>Selectable thermostop ensures optimum rinse temperatures<br>Automatic self-cleaning at end of service<br>Operational self diagnostics<br>Twin traffic light display indicate machine status<br>Drain pump optional<br>Partial double skinned reducing noise and heat loss<br>Suitable for hot (max 50°C) or cold water supply at 2 to 4 bar dynamic supply pressure<br>Machines fitted to cold water supplies will not be capable of running repeated short cycles. <br>The cycle time will automatically be extended to allow recovery of correct operating temperatures<br>Wash temperature 60°C (adjustable)<br>Rinse temperature 65°C (adjustable),350,No,No,854
C351D,Undercounter Glasswasher with Drain Pump,1470,C351peroninewth.jpg;C351winenewth.jpg;C351closednewth.jpg,400,480,630,C351 Rack size 350 x 350mm<br>Maximum useable height 255mm <br>Dimensions W400 x D480 x H630mm<br>Height excludes adjustable feet which will add 10 - 20mm<br>Three selectable cycle times ranging from 70 - 240 sec <br>Power 2.9kW <br>13 Amps required<br>2 year warranty<br>Bright LED display with soft touch controls<br>Accurate detergent and rinse aid peristaltic dosing as standard<br>Supplied with two open cup/glass racks<br>Three selectable cycle options<br>Cycle times between 70 & 240 secs<br>Cycle times can be tailored to site requirements<br>Selectable energy saving mode<br>Selectable thermostop ensures optimum rinse temperatures<br>Automatic self-cleaning at end of service<br>Operational self diagnostics<br>Twin traffic light display indicate machine status<br>Drain pump optional<br>Partial double skinned reducing noise and heat loss<br>Suitable for hot (max 50°C) or cold water supply at 2 to 4 bar dynamic supply pressure<br>Machines fitted to cold water supplies will not be capable of running repeated short cycles. <br>The cycle time will automatically be extended to allow recovery of correct operating temperatures<br>Wash temperature 60°C (adjustable)<br>Rinse temperature 65°C (adjustable),351,Yes,No,951
