Product Code,Generic Product Type,Product Group,Catalogue Description,Additional Description,Product Type,Related Products,Gas or Electric,Power/Load,Height (mm),Width (mm),Depth (mm),Web USPs,Spec Sheet Code,UK (Jan 16),Weight (kg),Image Code,product_type_id,product_range_id,Width Feature,Depth Feature,Height Feature,Nett Price
DF33,Cooking Equipment,Silverlink 600,Fryer (Counter Top),Single tank,Fryers (Counter Top),BA96 DC02 SLS3 CN3 CC3 HC3 HCL3,electric,3 kW,335,300,600,* Front mounted controls ensure safe working practice<br>* Hinging element with safety cut-out provides easy access to tank for cleaning <br>* High quality grade 304 stainless steel fryer tanks fully welded to hobs for added strength and a smooth easy clean seamless finish<br>* Thermostatic control with fail-safe top temperature cut out maintains accurate oil temperature and ensures safe operation<br>* Heavy duty double nickel plated spun wire baskets batter plates and stainless steel lids supplied as standard,S-LINKFRYDF3,513,13,DF33.jpg,86,152,300mm,600mm,335mm,294.975
DF36,Cooking Equipment,Silverlink 600,Fryer (Counter Top),Single tank,Fryers (Counter Top),BA96 DC02 SLS3 CN3 CC3 HC3 HCL3,electric,6 kW,335,300,600,* Front mounted controls ensure safe working practice<br>* Hinging element with safety cut-out provides easy access to tank for cleaning <br>* High quality grade 304 stainless steel fryer tanks fully welded to hobs for added strength and a smooth easy clean seamless finish<br>* Thermostatic control with fail-safe top temperature cut out maintains accurate oil temperature and ensures safe operation<br>* Heavy duty double nickel plated spun wire baskets batter plates and stainless steel lids supplied as standard,S-LINKFRYDF3,561,13,DF36.jpg,86,153,300mm,600mm,335mm,322.575
DF39,Cooking Equipment,Silverlink 600,Fryer (Counter Top),Single tank,Fryers (Counter Top),BA96 DC02 SLS3 CN3 CC3 HC3 HCL3,electric,9 kW,335,300,600,* Front mounted controls ensure safe working practice<br>* Hinging element with safety cut-out provides easy access to tank for cleaning <br>* High quality grade 304 stainless steel fryer tanks fully welded to hobs for added strength and a smooth easy clean seamless finish<br>* Thermostatic control with fail-safe top temperature cut out maintains accurate oil temperature and ensures safe operation<br>* Heavy duty double nickel plated spun wire baskets batter plates and stainless steel lids supplied as standard,S-LINKFRYDF3,604,14,DF39.jpg,86,152,300mm,600mm,335mm,347.3
DF4/N,Cooking Equipment,Silverlink 600,Fryer (Counter Top),Single tank,Fryers (Counter Top),DC01 SLS4 CN4,gas,11.3 kW,425,450,600,* Thermostatic control ensures accurate oil temperature control and consistently perfect results<br>* Safety features include top temperature cut-out to prevent overheating of oil and flame failure device<br>* Deep cool zone collects cooking debris - this gives cleaner cooking results and prolongs oil life saving you money<br>* Convenient pilot flame operation with piezo ignition<br>* Heavy duty double nickel plated spun wire baskets batter plates and stainless steel lids supplied as standard,S-LINKGASFRYDF,1269,29,DF4-gas.jpg,84,152,450mm,600mm,425mm,729.675
DF4/P,Cooking Equipment,Silverlink 600,Fryer (Counter Top),Single tank,Fryers (Counter Top),DC01 SLS4 CN4,gas,11.3 kW,425,450,600,* Thermostatic control ensures accurate oil temperature control and consistently perfect results<br>* Safety features include top temperature cut-out to prevent overheating of oil and flame failure device<br>* Deep cool zone collects cooking debris - this gives cleaner cooking results and prolongs oil life saving you money<br>* Convenient pilot flame operation with piezo ignition<br>* Heavy duty double nickel plated spun wire baskets batter plates and stainless steel lids supplied as standard,S-LINKGASFRYDF,1269,29,DF4-gas.jpg,84,152,450mm,600mm,425mm,729.675
DF46,Cooking Equipment,Silverlink 600,Fryer (Counter Top),Single tank,Fryers (Counter Top),BA96 DC03 CN4 CC4 HC4 HCL4 SLS4,electric,6 kW,335,450,600,* Front mounted controls ensure safe working practice<br>* Hinging element with safety cut-out provides easy access to tank for cleaning <br>* High quality grade 304 stainless steel fryer tanks fully welded to hobs for added strength and a smooth easy clean seamless finish<br>* Thermostatic control with fail-safe top temperature cut out maintains accurate oil temperature and ensures safe operation<br>* Heavy duty double nickel plated spun wire baskets batter plates and stainless steel lids supplied as standard,S-LINKFRYDF4,698,17,DF46.jpg,86,152,450mm,600mm,335mm,401.35
DF49,Cooking Equipment,Silverlink 600,Fryer (Counter Top),Single tank,Fryers (Counter Top),BA96 DC03 SLS4 CN4 CC4 HC4 HCL4 SLS4,electric,9 kW,335,450,600,* Front mounted controls ensure safe working practice<br>* Hinging element with safety cut-out provides easy access to tank for cleaning <br>* High quality grade 304 stainless steel fryer tanks fully welded to hobs for added strength and a smooth easy clean seamless finish<br>* Thermostatic control with fail-safe top temperature cut out maintains accurate oil temperature and ensures safe operation<br>* Heavy duty double nickel plated spun wire baskets batter plates and stainless steel lids supplied as standard,S-LINKFRYDF4,728,17,DF49.jpg,86,152,450mm,600mm,335mm,418.6
DF612,Cooking Equipment,Silverlink 600,Fryer (Counter Top),Twin tank,Fryers (Counter Top),BA96 SLS6 CN6 CC6 HC6 HCL6,electric,6 Kw x 2,335,600,600,* Front mounted controls ensure safe working practice<br>* Hinging element with safety cut-out provides easy access to tank for cleaning <br>* High quality grade 304 stainless steel fryer tanks fully welded to hobs for added strength and a smooth easy clean seamless finish<br>* Thermostatic control with fail-safe top temperature cut out maintains accurate oil temperature and ensures safe operation<br>* Heavy duty double nickel plated spun wire baskets batter plates and stainless steel lids supplied as standard,S-LINKFRYDF6,1048,25,DF612.jpg,86,152,600mm,600mm,335mm,602.6
DF618,Cooking Equipment,Silverlink 600,Fryer (Counter Top),Twin tank,Fryers (Counter Top),BA96 SLS6 CN6 CC6 HC6 HCL6,electric,9 kW x 2,335,600,600,* Front mounted controls ensure safe working practice<br>* Hinging element with safety cut-out provides easy access to tank for cleaning <br>* High quality grade 304 stainless steel fryer tanks fully welded to hobs for added strength and a smooth easy clean seamless finish<br>* Thermostatic control with fail-safe top temperature cut out maintains accurate oil temperature and ensures safe operation<br>* Heavy duty double nickel plated spun wire baskets batter plates and stainless steel lids supplied as standard,S-LINKFRYDF6,1105,26,DF618.jpg,86,152,600mm,600mm,335mm,635.375
DF66,Cooking Equipment,Silverlink 600,Fryer (Counter Top),Twin tank,Fryers (Counter Top),BA96 SLS6 CN6 CC6 HC6 HCL6,electric,3 kW x 2,335,600,600,* Front mounted controls ensure safe working practice<br>* Hinging element with safety cut-out provides easy access to tank for cleaning <br>* High quality grade 304 stainless steel fryer tanks fully welded to hobs for added strength and a smooth easy clean seamless finish<br>* Thermostatic control with fail-safe top temperature cut out maintains accurate oil temperature and ensures safe operation<br>* Heavy duty double nickel plated spun wire baskets batter plates and stainless steel lids supplied as standard,S-LINKFRYDF6,877,24,DF66.jpg,86,152,600mm,600mm,335mm,504.275
