Item Code,Brand,Item Title,Image Filename,Width,Depth,Height,Sales Description,Volume,Packed Weight,Nett Price
GT18,Evolution Series,400mm Single Tank Gas Fryer,GT18_UK_HR.png,400,812,1085,"400mm single pan gas deep fryer<br>18 litre oil capacity<br>25kg/hr production rate<br>25kW (gross) multi-jet target burner<br>Mechanical controls<br>Easy clean, installation and service<br>Supplied with 2 baskets and stainless steel lid supplied as standard",0.54m,97,
GP513-B,Evolution Series,450mm Gas Griddle - Bench Model,GP513_B_UK.png,450,812,485,"450mm gas griddle bench model<br>11.5kW thermostatic burner system<br>Top weld sealed plates<br>Mirror or ribbed plate options<br>20mm thick griddle plate<br>Heavy-duty thermostatic gas griddle<br>Full pilot and flame failure protection with piezo ignition<br>2 models of base unit<br>Easy clean, installation and service",0.29m,111,
GP513-LS,Evolution Series,450mm Gas Griddle with Leg Stand,GP513_LS_UK.png,450,812,1085,"450mm gas griddle on leg stand<br>11.5kW thermostatic burner system<br>Top weld sealed plates<br>Mirror chromed plate option<br>20mm thick griddle plate<br>Heavy-duty thermostatic gas griddle<br>Full pilot and flame failure protection with piezo ignition<br>2 models of base unit<br>Easy clean, installation and service",0.54m,130,
GP513-CB,Evolution Series,450mm Gas Griddle with Cabinet Base,GP513_CB_UK.png,450,812,1085,"450mm gas griddle on cabinet base<br>11.5kW thermostatic burner system<br>Top weld sealed plates<br>Mirror chromed plate option<br>20mm thick griddle plate<br>Heavy-duty thermostatic gas griddle<br>Full pilot and flame failure protection with piezo ignition<br>2 models of base unit<br>Easy clean, installation and service",0.54m,130,
G593-B,Evolution Series,450mm Gas Chargrill - Bench Model,G596_LS_50_50GRATES_LH_UK_HR.png;G596_LS_300PLATE_LH_UK_HR.png;G596_LS_300PLATE_UK_HR.png;G596_LS_450PLATE_UK_HR.png;G596_LS_LH_UK_HR.png;G596_LS_SIMMERPLATE_UK_HR.png,450,812,585,"450mm gas chargrill bench model<br>14.2kW 304 stainless steel 3 bar burner<br>Reversible heavy-duty top grates<br>Interchangeable drop on griddle plates<br>Inclined position to reduce flare and enhance grease run<br>Full pilot and flame failure protection per burner<br>Lift out radiants, burners and grease tray baffles<br>Heavy-duty reinforced control knobs<br>Easy clean, installation and service<br>(Image shown as G596-LS)",0.29m,133,
G593-LS,Evolution Series,450mm Gas Chargrill with Leg Stand,G596_LS_50_50GRATES_LH_UK_HR.png;G596_LS_300PLATE_LH_UK_HR.png;G596_LS_300PLATE_UK_HR.png;G596_LS_450PLATE_UK_HR.png;G596_LS_LH_UK_HR.png;G596_LS_SIMMERPLATE_UK_HR.png,450,812,1085,"450mm gas chargrill on leg stand<br>14.2kW 304 stainless steel 3 bar burner<br>Reversible heavy-duty top grates<br>Interchangeable drop on griddle plates<br>Inclined position to reduce flare and enhance grease run<br>Full pilot and flame failure protection per burner<br>Lift out radiants, burners and grease tray baffles<br>Heavy-duty reinforced control knobs<br>Easy clean, installation and service<br>(Image shown as G596-LS)",0.29m,133,
G512D-B,Evolution Series,300mm Gas Cooktop - Bench Model,G512D_B_UK_HR.png,300,812,485,"2 burners cooktop bench model<br>2 x 7kW open burners<br>Heavy-duty stainless steel finish<br>Flame failure protection on all burners<br>Removable heavy-duty cast iron burners and vitreous enamel pot stands<br>Heavy-duty reinforced control knobs<br>Adjustable feet and 2 additional rollers<br>Easy clean, installation and service",0.2m,70,565
G504D,Evolution Series,600mm Gas Range Static Oven,G504D_UK_HR.png,600,812,1085,"4 burners cooktop range<br>1/1 GN gas static oven<br>4 x 7kW open burners<br>Heavy-duty stainless steel finish<br>Flame failure protection on all burners<br>Removable heavy-duty cast iron burners and vitreous enamel pot stands<br>Heavy-duty reinforced control knobs<br>Drop down door with welded frame<br>Fully welded and vitreous enamelled oven liner<br>Cool touch stainless steel door handle<br>Adjustable feet and 2 additional rollers<br>Easy clean, installation and service",0.7m,210,1250
G506D,Evolution Series,900mm Gas Range Static Oven,G506D_UK_HR.png;G506D_SIMMERPLATE_LH_UK_HR.png,900,812,1085,"6 burners cooktop range<br>2/1 GN gas static oven<br>6 x 7kW open burners<br>Heavy-duty stainless steel finish<br>Flame failure protection on all burners<br>Removable heavy-duty cast iron burners and vitreous enamel pot stands<br>Heavy-duty reinforced control knobs<br>Drop down door with welded frame<br>Fully welded and vitreous enamelled oven liner<br>Cool touch stainless steel door handle<br>Adjustable feet and 2 additional rollers<br>Easy clean, installation and service",1.04m,275,1300
G56D,Evolution Series,900mm Gas Range Convection Oven,G56D_UK_HR.png;G56D_LH_UK_HR.png,900,812,1085,"6 burners cooktop range<br>2/1 GN gas convection oven<br>6 x 7kW open burners<br>Heavy-duty stainless steel finish<br>Flame failure protection on all burners<br>Removable heavy-duty cast iron burners and vitreous enamel pot stands<br>Heavy-duty reinforced control knobs<br>Drop down door with welded frame<br>Fully welded and vitreous enamelled oven liner<br>Cool touch stainless steel door handle<br>Adjustable feet and 2 additional rollers<br>Easy clean, installation and service",1.04m,277,2720
