Item Code,Item Title,List Price,Nett Price,Image Filename,Width,Depth,Height,Sales Description,Production,Bin Capacity,Weight,Water Consumption,Voltage,Fuse,Load,Start Amps,Nett Warranty,Width feature,Depth feature,Height feature
ACM46,Self Contained Ice Cuber,1048,440,ACM46.png,386,600,645,"Scotsman self-contained ice cube maker, air-cooled (A) or water-cooled (W), grade 304 stainless steel, standard medium cube, electronic controls.",24 kg / 1200 Ice Cubes,9 kg,35 kg,77 Litres / 24 hours,230/50/1,13 amps,400 watts,12 amps,500,386mm,600mm,645mm
ACM56,Self Contained Ice Cuber,1422,525,ACM56.png,386,600,695,"Scotsman self-contained ice cube maker, air-cooled (A) or water-cooled (W), grade 304 stainless steel, standard medium cube, optional large cube, electronic controls.",31 kg / 1550 Ice Cubes,12.5 kg,36 kg,89 Litres / 24 hours,230/50/1,13 amps,400 watts,12 amps,585,386mm,600mm,695mm
ACM86,Self Contained Ice Cuber,1849,620,ACM86.png,531,600,875,"Scotsman self-contained ice cube maker, air-cooled (A) or water-cooled (W), grade 304 stainless steel, standard medium cube, optional large cube, electronic controls.",38 kg / 1900 Ice Cubes,19 kg,44 kg,144 Litres / 24 hours,230/50/1,13 amps,480 watts,18 amps,680,531mm,600mm,875mm
ACM106,Self Contained Ice Cuber,2027,735,ACM106.png,531,600,960,"Scotsman self-contained ice cube maker, air-cooled (A) or water-cooled (W), grade 304 stainless steel, standard medium cube, optional large cube, electronic controls.",50 kg / 2500 cubes,23 kg,54 kg,136 Litres / 24 hours,230/50/1,13 amps,550 watts,18 amps,795,531mm,600mm,960mm
ICE-1,Self Contained Ice Cuber,1021,510,ICE1.png,457,523,738,,25 kg / 1200 Ice Cubes,14 kg,39 kg,100 Litres / 24 hours,230/50/1,13 amps,,,570,457mm,523mm,738mm
ICE-3,Self Contained Ice Cuber,1246,623,ICE3.png,457,523,920,,38 kg / 1900 Ice Cubes,14 kg,44 kg,140 Litres / 24 hours,230/50/1,13 amps,,,683,457mm,523mm,920mm
EC46,Self Contained Ice Cuber with Waste Drain Pump,1380,690,EC46.png,386,600,735,"Scotsman self-contained ice cube maker with built-in waste water pump, grade 304 stainless steel, standard medium cube, electronic controls.",24 kg / 1200 Ice Cubes,9 kg,35 kg,77 Litres / 24 hours,230/50/1,13 amps,400 watts,12 amps,750,386mm,600mm,735mm
EC56,Self Contained Ice Cuber with Waste Drain Pump,1834,917,EC56.png,386,600,785,"Scotsman self-contained ice cube maker with built-in waste water pump, grade 304 stainless steel, standard medium cube, electronic controls.",31 kg / 1550 Ice Cubes,12.5 kg,36 kg,89 Litres / 24 hours,230/50/1,13 amps,400 watts,12 amps,977,386mm,600mm,785mm
EC86,Self Contained Ice Cuber with Waste Drain Pump,2304,1152,EC86.png,531,600,875,"Scotsman self-contained ice cube maker with built-in waste water pump, grade 304 stainless steel, standard medium cube, optional large cube, electronic controls.",38 kg / 1900 Ice Cubes,19 kg,44 kg,144 Litres / 24 hours,230/50/1,13 amps,480 watts,18 amps,1212,531mm,600mm,875mm
EC106,Self Contained Ice Cuber with Waste Drain Pump,2502,1251,EC106.png,531,600,960,"Scotsman self-contained ice cube maker with built-in waste water pump, grade 304 stainless steel, standard medium cube, optional large cube, electronic controls.",50 kg / 2500 cubes,23 kg,52 kg,136 Litres / 24 hours,230/50/1,13 amps,550 watts,18 amps,1311,531mm,600mm,960mm
