Category,Sub Cat 1,Sub Cat 2,Product Code,Product Title,Sub Title,Product Price Description,Temperature Range,Refrigerant,Refrigerant Charge,Defrost,Shelves,Baskets,Int Finish,Ext Finish,Power,kWh/24hr,Watts,Noise Level dB,Max Ambient,Reversible Door,Climate Class,Capacity Ltr,Capacity Cuft,Ext H,Ext W,Ext D,Weight KG,Int H,Int W,Int D,Pack H,Pack W,Pack D,Packed Weight KG,Features,Thumbnail,Image,Image Caption,Packed Image,Packed Image Caption,Diagram,Diagram Caption,PDF Page No,Order,Catalogue Supplier Name,Next Day Delivery,Delivery Group,Special Installation,Site Survey,New,Sales Description,Fresh Fish,Fresh Meat,Price,Nett,Resale,Manufacturer,TaxID,Differences,Width Feature,Depth Feature,Height Feature
Chilled Display,Minibars,Bar and Counter Display Chillers,TM32G,TMG Range,Minibars,Black Glass Door,0.416666667,NH?,70,Off Cycle,1,,Grey,Black/Graphite,13 Amp,0.8,60,0,25C at 60% RH,Yes,3,31ltr,1.09,500,402,406,16,400,316,215,530,450,460,19.5,"*Silent running refrigeration system*Suitable for hotel bedrooms, meeting rooms and boardrooms*LED interior light (only turns on with door open)*Lock*Adjustable shelves*Adjustable feet*Low energy consumption*Can be Integrated into cabinet with optional fixing kit (POA) ventilation holes must be fitted*Suitable for standard UK electrical supply (50Hz) and also 60Hz (Some ships)",tmg-range-15.jpg,tm32g-stocked-15.jpg;tm32g-15.jpg;tm-g-shelf-15.jpg;tm-g-lock-15.jpg;tm-g-stat-15.jpg,TM32G Stocked;TM32G;Shelf;Lock;Thermostat,,,tm32g-dia-15.jpg,TM32G Diagram,002.pdf,,Tefcold,Y,GROUP 1,No,No,Y,The TM range of glass door minibars are very popular for hotel rooms and boardrooms. With a silent running refrigeration system they won't keep you awake at night (or during a board meeting) units come with internal LED lighting that comes on when the door is opened. Please note these are not suitable for shops or other areas where there is high usage.,,,256,176.64,208.78848,2,1,Y,402mm,406mm,500mm
Chilled Display,Minibars,Bar and Counter Display Chillers,TM42G,TMG Range,Minibars,Black Glass Door,0.416666667,NH3,72,Off Cycle,2,,Grey,Black/Graphite,13 Amp,0.9,60,0,25C at 60% RH,Yes,3,41ltr,1.45,560,402,450,17,459,316,245,600,450,480,22,"*Silent running refrigeration system*Suitable for hotel bedrooms, meeting rooms and boardrooms*LED interior light (only turns on with door open)*Lock*Adjustable shelves*Adjustable feet*Low energy consumption*Can be Integrated into cabinet with optional fixing kit (POA) ventilation holes must be fitted*Suitable for standard UK electrical supply (50Hz) and also 60Hz (Some ships)",,tm42g-stocked-15.jpg,TM42G Stocked,,,tm42g-dia-15.jpg,TM42G Diagram,,,Tefcold,Y,GROUP 1,No,No,Y,,,,269,185.61,203.1488,2,1,Y,402mm,450mm,560mm
Chilled Display,Minibars,Bar and Counter Display Chillers,TM52G,TMG Range,Minibars,Black Glass Door,0.416666667,NH?,80,Off Cycle,2,,Grey,Black/Graphite,13 Amp,1,60,0,25C at 60% RH,Yes,3,51ltr,1.8,670,402,450,19,569,316,245,710,450,480,24,"*Silent running refrigeration system*Suitable for hotel bedrooms, meeting rooms and boardrooms*LED interior light (only turns on with door open)*Lock*Adjustable shelves*Adjustable feet*Low energy consumption*Can be Integrated into cabinet with optional fixing kit (POA) ventilation holes must be fitted*Suitable for standard UK electrical supply (50Hz) and also 60Hz (Some ships)",,,,,,tm52g-dia-15.jpg,TM52G Diagram,,,Tefcold,Y,GROUP 1,No,No,Y,,,,284,195.96,214.4768,2,1,Y,402mm,450mm,670mm
Chilled Display,Bar and Counter Display Chillers,,BC30,BC Range,Counter Top Chiller,Black Glass Door,0.2,R134a,45,Automatic,1,,Black,Black,13 Amp,0.79,87,44,25C at 60% RH,No,3,22ltr,0.8,491,356,406,22.2,380,280,271,520,400,450,24.6,*Fully automatic*Fan assisted cooling*Lock*Adjustable shelves (BC60 only)*Adjustable feet*LED Interior light*Self closing door,bc-range-14.jpg,bc30-stocked-09.jpg,BC30 Stocked,bc30-pkd-11.jpg,BC30 Packed,bc30-dia-15.jpg,BC30 Diagram,003.pdf,,Tefcold,Y,GROUP 1,No,No,,"A superb small counter top glass door fridge suitable for shops, pubs and clubs. With fan assisted cooling and an internal light for great illumination, it is the ideal cabinet to maximise impulse sales. The BC60 is perfect for 330ml beer bottles or energy drinks",,,306,211.14,231.0912,2,1,,356mm,406mm,491mm
Chilled Display,Bar and Counter Display Chillers,,BC60,BC Range,Counter Top Chiller,Black Glass Door,0.2,R134a,50,Automatic,2,,Black,Black,13 Amp,0.83,100,44,25C at 60% RH,No,3,67ltr,2.4,668,432,496,32.5,557,356,311,700,480,550,35.7,*Fully automatic*Fan assisted cooling*Lock*Adjustable shelves (BC60 only)*Adjustable feet*LED Interior light*Self closing door,,bc60-stocked-09.jpg,BC60 Stocked,bc60-pkd-11.jpg,BC60 Packed,bc60-dia-15.jpg,BC60 Diagram,,,Tefcold,Y,GROUP 1,No,No,,,,,335,231.15,252.992,2,1,,432mm,496mm,668mm
Chilled Display,Bar and Counter Display Chillers,,BC85,BC85,Undercounter Chiller,White Glass Door,0.5,R134a,80,Off Cycle,3,,White,White,13 Amp,0.66,165,45,25C at 60% RH,Yes,3,92ltr,3.2,775,503,560,33,630,410,415,810,570,610,38,*Static cooling*Lock*Adjustable shelves*Adjustable feet*Interior light*Digital temperature display*Curved profile door,,bc85-stocked-05.jpg;bc85-05.jpg,BC85 Stocked;BC85,bc85-pkd-11.jpg,BC85 Packed,bc85-dia-15.jpg,BC85 Diagram,004.pdf,,Tefcold,Y,GROUP 1,No,No,,A well designed undercounter fridge with great looking curved glass door. With an internal light and integral lock it is an ideal drinks chiller for a wide variety of situations,,,314,216.66,237.1328,2,1,,503mm,560mm,775mm
Chilled Display,Bar and Counter Display Chillers,Wine Coolers,SC85,SC85,Wine Cooler,Brown Glass Door,0.5,R134a,80,Off Cycle,3 + Base,,White,Dark Brown,13 Amp,0.9,75,45,25C at 60% RH,No,3,92ltr,3.2,775,503,560,35,630,410,415,920,570,610,38,*Static cooling*Lock*Adjustable shelves*Adjustable feet*Interior light*Digital temperature display*Tinted glass door*Holds approximately 18 x 75cl wine bottles*Curved profile door,,sc85-stocked-05.jpg,SC85 Stocked,sc85-pkd-11.jpg,SC85 Packed,sc85-dia-15.jpg,SC85 Diagrams,004a.pdf,,Tefcold,Y,GROUP 1,No,No,,A quality undercounter wine cooler with a smart brown finish and wine shelves to hold up to 18 x 75cl bottles. Ideal for display and storage of white and ros? wines.,,,372,256.68,280.9344,2,1,,503mm,560mm,775mm
Chilled Display,Bar and Counter Display Chillers,,FS80CP,FS80CP,Counter Top Chiller,White Glass Door,0.2,R134a,90,Automatic,2,,White,White,13 Amp,2.2,215,42,25C at 60% RH,No,3,84ltr,3,840,480,460,39,550,410,380,920,550,630,43,*Fully automatic*Fan assisted cooling*Lock*Adjustable shelves*Adjustable feet*Interior light,,fs80cp-stocked-10.jpg;fs80cp-10.jpg,FS80CP Stocked;FS80CP,fs80cp-pkd-11.jpg,FS80CP Packed,,,003a.pdf,,Tefcold,Y,GROUP 1,No,No,,A quality counter top display fridge with fan assisted cooling. This unit has an internal light and an illuminated light canopy that is ideal for branding with your logo for advertising to encourage sales. Great for display of 500ml PET bottles or other chilled drinks.,,,433,298.77,327.0016,2,1,,480mm,460mm,840mm
Chilled Display,Bar and Counter Display Chillers,,BC145,BC145,Undercounter Chiller,White Glass Door,0.2,R134a,80,Manual,3,,White,White,13 Amp,1.2,165,45,25C at 60% RH,Yes,3,109ltr,3.8,895,503,560,37,710,410,415,950,580,600,41,*Fan assisted cooling*Lock*Adjustable shelves*Adjustable feet*Interior light*Digital temperature display*Curved profile door,,bc145-stocked-06.jpg;bc145-06.jpg,BC145 Stocked;BC145,bc145-pkd-11.jpg,BC145 Packed,bc145-dia-15.jpg,BC145 Diagram,005a.pdf,,Tefcold,Y,GROUP 1,No,No,,"An excellent choice for small caf?s and cafeterias. Ideal for display of drinks, dairy products and sandwiches. With fan assisted cooling for even temperature and  internal light - this is a great unit for a wide variety of situations",,,374,258.06,282.4448,2,1,,503mm,560mm,895mm
Chilled Display,Bar and Counter Display Chillers,,UR200G,UR200G Range,Undercounter Chiller,White Glass Door,0.1,R134a,75,Automatic,3,,White,White,13 Amp,1.1,130,40,25C at 60% RH,Yes,3,200ltr,7.1,850,600,600,47,620,510,485,910,690,650,52,*Fully automatic*Fan assisted cooling*Lock*Adjustable shelves*Adjustable feet with rollers to rear*Interior light*Digital controller and temperature display*Brushed aluminium door frame,ur200g-range-14.jpg,ur200g-10.jpg,UR200G,ur200-pkd-11.jpg,UR200G Packed,ur200g-dia-15.jpg,UR200G Diagram,005.pdf,,Tefcold,Y,GROUP 1,No,No,,An undercounter fridge that is more heavy duty than most. It has great looks with the aluminium door frame and plenty of display space inside. With fan assisted cooling and automatic defrost this is an ideal undercounter display fridge. You also can choose the option of white or stainless steel finish.,,,516,356.04,389.6832,2,1,,600mm,600mm,850mm
