ProductCode,Title,Short Description,Long Description,Purpose,Temperature,Height,Width,Depth,Capacity,note1,note2,note3,note4,note5,note6,note7,note8,note9,note10,note11,note12,2016 List Price,2016 Nett Price,(Model Code),,,Final Nett,Width Feature,Depth Feature,Height Feature
EP700HU,EcoPro G2 600 Litre Upright Undermount Refrigerated Cabinet,EP700HU EcoPro G2 600 Litre Upright Undermount Refrigerated Cabinet,We've revolutionised professional refrigeration... again. Built from the ground up to include over 50 new features and innovations the EcoPro G2 is loaded with new design quality reliability efficiency and performance features.,General Storage Refrigeration,Refrigerator +1/+4 C,1980,700,865,600,Optional castors supplied as standard increase overall height to 2070mm,150mm castors are not available if product is supplied less condensing unit,"Adequate airflow and service space must be kept above the top of cabinet, 150mm.",Depth with door open is 1500mm,Decibel rating measured 1m high from the floor and 1m out from the cabinet.,Marine kit option includes legs bulkhead brackets & marine shelves.,,,,,,,2336,1168,10/125,10125.jpg,EcoPro G2 600 Litre Upright Undermount Refrigerated Cabinet,1132.96,700mm,865mm,1980mm
EP700LU,EcoPro G2 600 Litre Upright  Undermount Freezer Cabinet,EP700LU EcoPro G2 600 Litre Upright Undermount Freezer Cabinet,We've revolutionised professional refrigeration... again. Built from the ground up to include over 50 new features and innovations the EcoPro G2 is loaded with new design quality reliability efficiency and performance features.,General Storage Freezing,Freezer -18/-21 C,1980,700,865,600,Optional castors supplied as standard increase overall height to 2070mm,150mm castors are not available if product is supplied less condensing unit,"Adequate airflow and service space must be kept above the top of cabinet, 150mm.",Depth with door open is 1500mm,Decibel rating measured 1m high from the floor and 1m out from the cabinet.,Marine kit option includes legs bulkhead brackets & marine shelves.,,,,,,,2834,1417,10/129,10129.jpg,EcoPro G2 600 Litre Upright  Undermount Freezer Cabinet,1374.49,700mm,865mm,1980mm
EP700MU,EcoPro G2 600 Litre Upright  Undermount  Meat Cabinet,EP700MU EcoPro G2 600 Litre Upright Undermount Meat Cabinet,We've revolutionised professional refrigeration... again. Built from the ground up to include over 50 new features and innovations the EcoPro G2 is loaded with new design quality reliability efficiency and performance features.,General Storage Refrigeration,Meat -2/+2 C,1980,700,865,600,Optional castors supplied as standard increase overall height to 2070mm,150mm castors are not available if product is supplied less condensing unit,"Adequate airflow and service space must be kept above the top of cabinet, 150mm.",Depth with door open is 1500mm,Decibel rating measured 1m high from the floor and 1m out from the cabinet.,Marine kit option includes legs bulkhead brackets & marine shelves.,,,,,,,2834,1417,10/133,10133.jpg,EcoPro G2 600 Litre Upright  Undermount  Meat Cabinet,1374.49,700mm,865mm,1980mm
EP1440MU,EcoPro G2 1350 Litre Upright Undermount Meat Cabinet,EP1440MU EcoPro G2 1350 Litre Upright Undermount Meat Cabinet,We've revolutionised professional refrigeration... again. Built from the ground up to include over 50 new features and innovations the EcoPro G2 is loaded with new design quality reliability efficiency and performance features.,General Storage Refrigeration,Meat -2/+2 C,1980,1440,865,1350,Optional castors supplied as standard increase overall height to 2070mm,150mm castors are not available if product is supplied less condensing unit,"Adequate airflow and service space must be kept above the top of cabinet, 310mm.",Depth with door open is 1500mm,Decibel rating measured 1m high from the floor and 1m out from the cabinet.,Marine kit option includes legs bulkhead brackets & marine shelves.,,,,,,,4050,2025,10/197,10197.jpg,EcoPro G2 1350 Litre Upright Undermount Meat Cabinet,1964.25,1440mm,865mm,1980mm
EP1440HU,EcoPro G2 1350 Litre Upright Undermount Refrigerated Cabinet,EP1440HU  EcoPro G2 1350 Litre Upright Undermount Refrigerated Cabinet,We've revolutionised professional refrigeration... again. Built from the ground up to include over 50 new features and innovations the EcoPro G2 is loaded with new design quality reliability efficiency and performance features.,General Storage Refrigeration,Refrigerator +1/+4 C,1980,1440,865,1350,Optional castors supplied as standard increase overall height to 2070mm,150mm castors are not available if product is supplied less condensing unit,"Adequate airflow and service space must be kept above the top of cabinet, 150mm.",Depth with door open is 1500mm,Decibel rating measured 1m high from the floor and 1m out from the cabinet.,Marine kit option includes legs bulkhead brackets & marine shelves.,,,,,,,3530,1765,10/189,10189.jpg,EcoPro G2 1350 Litre Upright Undermount Refrigerated Cabinet,1712.05,1440mm,865mm,1980mm
EP1440LU,EcoPro G2 1350 Litre Upright  Undermount Freezer Cabinet,EP1440LU EcoPro G2 1350 Litre Upright Undermount Freezer Cabinet,We've revolutionised professional refrigeration... again. Built from the ground up to include over 50 new features and innovations the EcoPro G2 is loaded with new design quality reliability efficiency and performance features.,General Storage Freezing,Freezer -18/-21 C,1980,1440,865,1350,Optional castors supplied as standard will increase the overall height to 2070mm,150mm castors are not available if product is supplied less condensing unit,"Adequate airflow and service space must be kept above the top of cabinet, 150mm.",Depth with door open is 1500mm,Decibel rating measured 1m high from the floor and 1m out from the cabinet.,Marine kit option includes legs bulkhead brackets & marine shelves.,,,,,,,4050,2025,10/193,10193.jpg,EcoPro G2 1350 Litre Upright  Undermount Freezer Cabinet,1964.25,1440mm,865mm,1980mm
EP820HU,EcoPro G2 600 Litre Broadway Upright Undermount Refrigerated Cabinet,EP820HU EcoPro G2 600 Litre Upright Broadway Refrigerated Cabinet,We've revolutionised professional refrigeration... again. Built from the ground up to include over 50 new features and innovations the EcoPro G2 is loaded with new design quality reliability efficiency and performance features.,General Storage Refrigeration,Refrigerator +1/+4 C,1980,820,745,600,Optional castors supplied as standard increase overall height to 2070mm,150mm castors are not available if product is supplied less condensing unit,"Adequate airflow and service space must be kept above the top of cabinet, 150mm.",Depth with door open is 1500mm,Decibel rating measured 1m high from the floor and 1m out from the cabinet.,Marine kit option includes legs bulkhead brackets & marine shelves.,,,,,,,3076,1538,10/220,10220.jpg,EcoPro G2 600 Litre Broadway Upright Undermount Refrigerated Cabinet,1491.86,820mm,745mm,1980mm
EP820LU,EcoPro G2 600 Litre Broadway Upright Undermount Freezer Cabinet,EP820LU EcoPro G2 600 Litre Upright Broadway Freezer Cabinet,We've revolutionised professional refrigeration... again. Built from the ground up to include over 50 new features and innovations the EcoPro G2 is loaded with new design quality reliability efficiency and performance features.,General Storage Freezing,Freezer -18/-21 C,1980,820,745,600,Optional castors supplied as standard increase overall height to 2070mm,150mm castors are not available if product is supplied less condensing unit,"Adequate airflow and service space must be kept above the top of cabinet, 150mm.",Depth with door open is 1500mm,Decibel rating measured 1m high from the floor and 1m out from the cabinet.,Marine kit option includes legs bulkhead brackets & marine shelves.,,,,,,,3932,1966,10/224,10224.jpg,EcoPro G2 600 Litre Broadway Upright Undermount Freezer Cabinet,1907.02,820mm,745mm,1980mm
EP700HL,EcoPro G2 600 Litre Upright Dual Temperature Refrigerated Cabinet,EP700HL EcoPro G2 600 Litre Upright Dual Temp Cabinet,We've revolutionised professional refrigeration... again. Built from the ground up to include over 50 new features and innovations the EcoPro G2 is loaded with new design quality reliability efficiency and performance features.,General Storage Refrigeration,Dual temp +1/+4 C & 18/-21 C,2080,700,840,600,150mm castors are not available if product is supplied less condensing unit,"Adequate airflow and service space must be kept above the top of cabinet, 310mm.",Depth with door open is 1500mm,Decibel rating measured 1m high from the floor and 1m out from the cabinet.,,,,,,,,,4874,2437,10/137,10137.jpg,EcoPro G2 600 Litre Upright Dual Temperature Refrigerated Cabinet,2363.89,700mm,840mm,2080mm
EP700F,EcoPro G2 600 Litre Upright Fish Cabinet,EP700F EcoPro G2 600 Litre Upright Fish Cabinet,We've revolutionised professional refrigeration... again. Built from the ground up to include over 50 new features and innovations the EcoPro G2 is loaded with new design quality reliability efficiency and performance features.,General Storage Refrigeration,Fish +1/+1 C,2080,700,820,600,Hydrocarbon option not available on glass door models,Depth with door open is 1500mm,Decibel rating measured 1m high from the floor and 1m out from the cabinet.,"Adequate airflow and service space must be kept above the top of cabinet, 310mm.",,,,,,,,,4454,2227,10/139,10139.jpg,EcoPro G2 600 Litre Upright Fish Cabinet,2160.19,700mm,820mm,2080mm
EP700W,EcoPro G2 600 Litre Upright Wine Cabinet,EP700W EcoPro G2 600 Litre Upright Glass Door Wine Cabinet,We've revolutionised professional refrigeration... again. Built from the ground up to include over 50 new features and innovations the EcoPro G2 is loaded with new design quality reliability efficiency and performance features.,General Storage Refrigeration,Wine +10/+12 C,2080,700,820,600,Hydrocarbon option not available on glass door models,Depth with door open is 1500mm,Decibel rating measured 1m high from the floor and 1m out from the cabinet.,"Adequate airflow and service space must be kept above the top of cabinet, 310mm.",,,,,,,,,3428,1714,10/156,10156.jpg,EcoPro G2 600 Litre Upright Wine Cabinet,1662.58,700mm,820mm,2080mm
EP1440W,EcoPro G2 1350 Litre Upright Wine Cabinet,EP1440W EcoPro G2 1350 Litre Upright Glass Door Wine Cabinet,We've revolutionised professional refrigeration... again. Built from the ground up to include over 50 new features and innovations the EcoPro G2 is loaded with new design quality reliability efficiency and performance features.,General Storage Refrigeration,Wine +10/+12 C,2080,1440,820,1350,Hydrocarbon option not available on glass door models,Depth with door open is 1500mm,Decibel rating measured 1m high from the floor and 1m out from the cabinet.,"Adequate airflow and service space must be kept above the top of cabinet, 310mm.",,,,,,,,,5232,2616,10/215,10215.jpg,EcoPro G2 1350 Litre Upright Wine Cabinet,2537.52,1440mm,820mm,2080mm
